단어,한국수어사전 URL,수형 사진 URL,수형 설명,수어 동영상 URL (MP4)
장군,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9687,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237454/IMG000233208_700X466.jpg,"오른 주먹 등을 이마에 대고 오른쪽으로 이동하며 두 번 손을 편 다음, 두 주먹을 오른쪽 가슴에 오른 주먹이 위에 놓이게 상하로 이어댄다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040029/MOV000360568_700X466.mp4
축사/축하사,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9678,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237984/IMG000233897_700X466.jpg,"손등이 아래로 향하게 가볍게 쥔 두 주먹을 위로 올리며 손가락을 활짝 편 다음, 손바닥이 왼쪽으로 향하게 펴서 세운 오른 팔꿈치를 왼 손바닥으로 받치고 전후로 두 번 흔든다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201224/791314/MOV000357961_700X466.mp4
원래/본래,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9147,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210108/796322/IMG000358146_700X466.jpg,2지와 5지 끝을 붙이고 세운 오른팔의 팔꿈치 밑에 왼손 등을 대고 손가락을 활짝 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727682/MOV000255459_700X466.mp4
식/축하/잔치/행사/파티,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/235834/IMG000231156_700X466.jpg,"손등이 아래로 향하게 가볍게 쥔 두 주먹을 위로 올리며 손가락을 활짝 편 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009679/MOV000359989_700X466.mp4
(화학)실험,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8902,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190725/604264/IMG000217749_700X466.jpg,"둥글게 쥐고 모로 세운 왼 주먹을 향해 둥글게 쥔 오른 주먹을 기울인 다음, 둥글게 쥐고 모로 세운 오른 주먹을 향해 둥글게 쥔 왼 주먹을 기울인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004600/MOV000359680_700X466.mp4
기금/기본금,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151204/221425/IMG000213357_700X466.jpg,"주먹을 쥐고 세운 왼팔의 팔꿈치 밑에 오른손의 손등을 댄 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010130/MOV000360119_700X466.mp4
유행,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8173,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/234935/IMG000229994_700X466.jpg,가볍게 오므린 오른 손끝을 턱에 댔다가 손을 펴면서 오른쪽으로 손목을 돌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629498/MOV000256043_700X466.mp4
신문사,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8156,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210104/794499/IMG000358077_700X466.jpg,"오른 팔꿈치를 왼 손바닥에 올려놓고 오른 손가락을 바닥이 안으로 향하게 하여 오르쪽으로 움직이며 편 다음, 두 주먹의 1·2지를 펴서 반쯤 구부려 어깨 위에서 전후로 엇갈리게 움직인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732397/MOV000257141_700X466.mp4
신문,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8155,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210104/794480/IMG000358076_700X466.jpg,오른 팔꿈치를 왼 손바닥에 올려놓고 오른 손가락을 바닥이 안으로 향하게 하였다가 오른쪽으로 펴는 동작을 두 번 반복한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732396/MOV000257139_700X466.mp4
오해/곡해,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=8146,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190725/604260/IMG000230678_700X466.jpg,오므린 두 손을 손등이 밖으로 향하게 하여 얼굴 앞에 나란히 세웠다가 두 팔이 ‘X’자로 교차하게 한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735662/MOV000256616_700X466.mp4
반짝/반짝이다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=7971,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151223/233247/IMG000227824_700X466.jpg,오른손을 자연스럽게 펴서 손가락이 위로 향하게 하여 머리 오른쪽에서 오므렸다 폈다 한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
세례,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=7934,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151223/233224/IMG000227785_700X466.jpg,"왼 주먹의 5지를 펴서 세우고, 오른 손끝을 모아 끝이 왼 주먹의 5지로 향하게 하여 두 번 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20240119/1261797/MOV000361400_700X466.mp4
원금/자금/원가/본전,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=7865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/274640/IMG000292378_700X466.jpg,"주먹을 쥐고 세운 왼 팔의 팔꿈치 밑에 오른 주먹 등을 대고 손가락을 활짝 편 다음, 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
전과,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=7731,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236326/IMG000231781_700X466.jpg,오른 손등을 이마에 대고 손가락을 폈다 구부렸다 하면서 왼쪽에서 오른쪽으로 이동시킨다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004447/MOV000359636_700X466.mp4
고백/고해,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=1782,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217377/IMG000208687_700X466.jpg,"5지와 1·2·3·4지를 벌린 오른손으로 ‘+’자를 그리고, 손바닥이 위로 향하게 하여 손끝을 모은 두 손을 번갈아 턱 아래에서 밖으로 내밀며 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1043990/MOV000361115_700X466.mp4
맥주,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=7308,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151218/229893/IMG000223398_700X466.jpg,"오른 손가락 끝을 모아 붙여 동그라미를 만들어 4지 옆면이 밖으로 향하게 한 다음, 5지만 굽히고 1·2·3·4지를 붙여 펴서 바닥이 밖으로 향하게 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628088/MOV000250671_700X466.mp4
등대/광탑,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6867,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151218/230194/IMG000223868_700X466.jpg,가볍게 쥔 두 주먹의 손목을 ‘X’자로 맞대고 손가락을 두 번 폈다 오므린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
빵,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6480,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232647/IMG000227024_700X466.jpg,"손바닥이 위로 향하게 편 왼 손바닥에, 오른손을 오므려 끝을 댔다가 위로 올리며 손가락을 벌린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627313/MOV000253637_700X466.mp4
선전,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6268,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190730/605431/IMG000226932_700X466.jpg,가볍게 쥔 두 주먹의 등을 입 가까이에 댔다가 활짝 펴며 밖으로 내미는 동작을 두 번 반복한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735624/MOV000253560_700X466.mp4
대화/대담,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6215,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230971/IMG000224856_700X466.jpg,오므린 두 손을 마주 보게 세워 번갈아 좌우로 움직이며 손가락을 오므렸다 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626637/MOV000251878_700X466.mp4
별,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6163,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232488/IMG000226805_700X466.jpg,머리 위에서 손가락이 위로 향하게 편 오른손을 손가락을 오므렸다 폈다 하면서 왼쪽에서 오른쪽으로 이동시킨다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626612/MOV000253456_700X466.mp4
불평,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6160,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201110/772163/IMG000356726_700X466.jpg,오른손의 손등을 턱에 대고 5지에 1·2·3·4지를 붙였다가 두 번 튕기면서 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734838/MOV000252931_700X466.mp4
신기록,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6045,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/235852/IMG000231186_700X466.jpg,"양손의 손가락을 모아 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 오른 주먹의 1·5지 끝을 맞대어 끝으로 왼 손바닥을 두 번 그어 내린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221020/1042623/MOV000361007_700X466.mp4
행사장,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=5830,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225549/IMG000218206_700X466.jpg,"손등이 아래로 향하게 가볍게 쥔 두 주먹을 위로 올리며 손가락을 활짝 편 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039473/MOV000360395_700X466.mp4
새해/신년,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=5581,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/231881/IMG000226036_700X466.jpg,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 두 주먹의 1·5지를 펴서 1지가 위로 향하게 하여 가슴 앞에서 동시에 위로 올린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626514/MOV000252840_700X466.mp4
본질/본성/근성/부성/부질/본바탕/성근/솔성/천질/체성/품성/품질,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=5311,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224583/IMG000217099_700X466.jpg,"손등이 밖으로 향하게 주먹을 쥐고 세운 왼팔의 팔꿈치 밑에 오른 주먹의 등을 대고 손가락을 편 다음, 왼 주먹 등에, 오른 주먹의 바닥을 대며 1지를 끝이 밖으로 향하게 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/284590/MOV000281932_700X466.mp4
고발/고자질/일러바치다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=5165,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151211/226176/IMG000218890_700X466.jpg,"왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 입 앞에서 가볍게 쥔 오른 주먹의 손가락 등을 왼 2주먹의 5지 등에 가져다 대면서 손을 활짝 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735167/MOV000247372_700X466.mp4
날리다,None,None,None,None
근본/기반/기본/기초/바탕/뿌리,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=3679,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151215/228362/IMG000221474_700X466.jpg,손등이 밖으로 향하게 주먹을 쥐고 세운 왼팔의 팔꿈치 밑에 오른 주먹의 등을 대고 손가락을 편다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001878/MOV000359455_700X466.mp4
새어머니,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=3159,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151123/215058/IMG000206001_700X466.jpg,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 오른 주먹의 1지를 펴서 끝 바닥을 코 오른쪽에 댔다가 떼며 1지를 접고 4지를 펴서 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043193/MOV000361085_700X466.mp4
새아버지,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=3157,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151123/215053/IMG000205994_700X466.jpg,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 오른 주먹의 1지를 펴서 끝을 코 오른쪽에 댔다가 떼며 1지를 접고 5지를 펴서 바닥이 밖으로 향하게 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043194/MOV000361086_700X466.mp4
빵집,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=2983,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222792/IMG000214983_700X466.jpg,"손바닥이 위로 향하게 편 왼 손바닥에, 오른손을 오므려 끝을 댔다가 위로 올리며 손가락을 벌린 다음, 두 손의 손끝을 맞대어 좌우로 비스듬히 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785101/MOV000356973_700X466.mp4
광/광선/라이트/빛/조명/비추다/비치다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11662,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151117/211257/IMG000201578_700X466.jpg,"오른 주먹의 1지를 펴서 바닥을 오른쪽 볼에 댄 다음, 왼 손등에 손가락을 펴서 세운 오른 팔꿈치를 올려놓고 오른 손목을 좌우로 약간 흔들며 동시에 위로 올린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285014/MOV000283298_700X466.mp4
신도시,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=2168,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216114/IMG000207200_700X466.jpg,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 손끝이 밖으로 향하게 모로 세운 두 손을 맞댔다가 오른손만 위로 올린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005041/MOV000359770_700X466.mp4
혁신,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=1074,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213539/IMG000204281_700X466.jpg,"두 손 각각 손끝을 모아 끝을 양쪽 눈 밑에 댔다가 떼며 활짝 편 다음, 1지를 펴서 등이 옆으로 향하게 세운 두 주먹을 중앙으로 모아 두 팔이 교차하게 한다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039334/MOV000360351_700X466.mp4
게우다/구토/토하다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=914,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213231/IMG000203878_700X466.jpg,오른손의 손가락을 오므려 끝을 가슴 중앙에 댔다가 위로 스쳐 올려 손가락 끝이 위로 향하게 하여 턱 앞으로 내밀며 벌리면서 상반신을 약간 구부리며 입을 벌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735821/MOV000237256_700X466.mp4
제과점/빵집,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=2983,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222792/IMG000214983_700X466.jpg,"손바닥이 위로 향하게 편 왼 손바닥에, 오른손을 오므려 끝을 댔다가 위로 올리며 손가락을 벌린 다음, 두 손의 손끝을 맞대어 좌우로 비스듬히 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785101/MOV000356973_700X466.mp4
오케이,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=153,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151115/210471/IMG000200590_700X466.jpg,"오른손의 손가락 끝을 맞대어 둥글게 주먹을 쥐고 등이 오른쪽으로 향하게 세운 다음, 1·2·5지를 펴서 5지 바닥을 2지에 대고 바닥이 밖으로 향하게 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731450/MOV000234911_700X466.mp4
망신/체면을 구기다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6598,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/231695/IMG000225780_700X466.jpg,"오른 주먹의 1지를 펴서 얼굴을 왼쪽으로 한 바퀴 돌린 다음, 두 주먹의 5지를 펴서 끝이 옆으로 향하게 하여 가까이 대었다가 5지가 아래로 향하도록 손목을 돌린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733128/MOV000252639_700X466.mp4
뇌물을 주다/매수,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=6539,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/231631/IMG000225721_700X466.jpg,"손등이 위로 손끝이 오른쪽으로 향하게 편 왼 손바닥 밑으로, 손바닥이 위로 향하게 편 오른손의 1·5지 끝을 맞대어 동그라미를 만들어 밖으로 스쳐 내며 손가락을 편다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004861/MOV000359733_700X466.mp4
수뢰/뇌물을 받다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12262,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/232077/IMG000226262_700X466.jpg,"왼손으로 ‘ㄷ’자 모양을 만들어 1·5지 옆면이 입으로 향하게 하고, 오른손의 손끝을 모으며 ‘ㄷ’자 모양의 손가락 사이로 밖에서 안으로 밀어 넣는다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764391/MOV000253017_700X466.mp4
고등,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11918,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151217/229428/IMG000222834_700X466.jpg,오른 손끝을 모아 붙여 이마 중앙에서 왼쪽으로 두 바퀴 돌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735065/MOV000250214_700X466.mp4
고급,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11812,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151217/229304/IMG000222678_700X466.jpg,"오른 손끝을 모아 붙여 이마 중앙에서 왼쪽으로 두 바퀴 돌린 다음, 손등이 위로 손끝이 오른쪽으로 향하게 편 왼 손바닥에, 오른손의 손가락 끝을 오른쪽에서 반원을 그리며 올려댄다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20240118/1261110/MOV000361366_700X466.mp4
문법,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11801,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190725/604153/IMG000223282_700X466.jpg,"손가락을 모아 붙인 두 손의 손끝을 두 번 마주 댄 다음, 1·2지를 펴서 구부려 모로 세운 오른 주먹으로 손바닥이 위로 향하게 편 왼 손바닥을 두 번 두드린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009677/MOV000359987_700X466.mp4
